time,acc_x,acc_y,acc_z,gyro_pitch,gyro_roll,gyro_yaw,input_freq
1738609396.735213,2,2,8,-173,1045,8134,f
1738609396.739439,4,2,5,-172,1101,8105,f
1738609396.744458,1,2,3,-167,999,8174,f
1738609396.748728,2,5,4,-165,1023,8189,f
1738609396.752828,1,1,7,-182,1031,8156,f
1738609396.757857,3,2,6,-180,890,8224,f
1738609396.76287,1,3,4,-173,1050,8156,f
1738609396.7670138,1,3,8,-188,1146,8131,f
1738609396.771094,2,2,6,-171,1105,8148,f
1738609396.775136,0,2,7,-187,1097,8134,f
1738609396.779171,4,3,7,-178,1221,8056,f
1738609396.784179,1,2,5,-176,1089,8156,f
1738609396.789197,2,4,6,-171,1060,8143,f
1738609396.7942169,2,2,5,-174,927,8248,f
1738609396.798893,5,3,7,-196,1016,8190,f
1738609396.803187,1,2,5,-174,1032,8168,f
1738609396.808196,1,3,5,-189,1119,8138,f
1738609396.813216,1,3,6,-177,1110,8142,f
1738609396.8182411,4,1,6,-182,1184,8074,f
1738609396.823019,2,2,5,-185,1045,8155,f
1738609396.827216,0,0,5,-175,895,8232,f
1738609396.831554,2,2,5,-195,1004,8172,f
1738609396.836579,1,4,7,-175,1008,8156,f
1738609396.841593,2,2,5,-172,1085,8125,f
1738609396.846605,4,2,5,-170,1119,8116,f
1738609396.8515358,2,1,6,-188,1108,8153,f
1738609396.856564,3,2,7,-179,997,8157,f
1738609396.861587,1,2,8,-156,1001,8190,f
1738609396.866601,3,3,6,-185,960,8242,f
1738609396.871,3,2,7,-189,1122,8163,f
1738609396.875217,3,4,7,-189,1113,8120,f
1738609396.880239,0,1,6,-185,1145,8082,f
1738609396.885262,2,2,7,-174,1027,8190,f
1738609396.890284,1,2,5,-174,1022,8181,f
1738609396.895242,1,2,6,-178,1085,8138,f
1738609396.9000142,2,2,6,-202,1133,8139,f
1738609396.9050329,0,0,9,-185,1226,8071,f
1738609396.910048,3,0,9,-195,1044,8161,f
1738609396.914885,4,4,5,-179,915,8241,f
1738609396.91936,1,2,5,-177,1074,8165,f
1738609396.92345,2,3,8,-182,1136,8143,f
1738609396.928467,2,0,7,-192,1198,8068,f
1738609396.93348,3,4,7,-185,1042,8175,f
1738609396.938499,4,4,5,-189,961,8200,f
1738609396.9435148,2,3,6,-181,1096,8112,f
1738609396.9477189,1,2,7,-180,1141,8128,f
1738609396.952259,3,1,6,-183,1095,8137,f
1738609396.95728,2,2,3,-167,967,8222,f
1738609396.962305,4,0,3,-179,950,8240,f
1738609396.96737,2,2,8,-184,1144,8129,f
1738609396.972384,5,0,6,-161,1117,8105,f
1738609396.977403,2,1,4,-172,949,8219,f
1738609396.981792,2,2,5,-169,1028,8216,f
1738609396.986809,2,1,7,-179,1049,8156,f
1738609396.991046,3,2,5,-172,1084,8130,f
1738609396.995462,1,1,4,-204,971,8166,f
1738609396.9995809,2,2,8,-163,959,8257,f
1738609397.004603,5,3,6,-192,1159,8146,f
1738609397.0096262,3,1,8,-192,1150,8114,f
1738609397.014648,2,3,7,-178,1014,8134,f
1738609397.019056,1,2,6,-165,1017,8159,f
1738609397.0232,3,3,7,-194,1208,8084,f
1738609397.027223,2,3,9,-192,1060,8162,f
1738609397.0322702,2,3,3,-158,980,8184,f
1738609397.03729,1,3,5,-167,990,8239,f
1738609397.042305,1,3,9,-159,1171,8132,f
1738609397.047167,3,3,5,-165,961,8204,f
1738609397.051327,0,5,3,-172,1010,8173,f
1738609397.0553842,0,3,6,-172,1148,8151,f
1738609397.059405,1,2,8,-177,1159,8076,f
1738609397.0634282,3,2,5,-193,999,8214,f
1738609397.067631,2,3,6,-186,972,8201,f
1738609397.072654,3,2,4,-181,1180,8116,f
1738609397.077678,3,1,4,-150,1103,8130,f
1738609397.0826979,4,4,4,-179,988,8173,f
1738609397.087713,2,2,7,-199,1162,8114,f
1738609397.0927339,3,2,6,-187,1108,8130,f
1738609397.0977669,2,1,6,-181,924,8203,f
1738609397.1021912,3,3,7,-163,1082,8150,f
1738609397.1070762,1,2,6,-184,1037,8170,f
1738609397.111315,2,3,2,-193,1001,8225,f
1738609397.11638,2,3,4,-192,1119,8124,f
1738609397.121415,1,3,6,-188,1177,8092,f
1738609397.12644,1,0,6,-174,959,8204,f
1738609397.130999,2,4,6,-198,1213,8105,f
1738609397.135329,1,2,7,-172,1003,8130,f
1738609397.139391,3,4,5,-177,1002,8221,f
1738609397.143492,1,4,11,-182,1147,8128,f
1738609397.170841,1,4,8,-180,1064,8160,f
1738609397.177204,3,2,7,-209,1031,8136,f
1738609397.181931,1,0,7,-163,1004,8198,f
1738609397.187017,2,3,9,-183,1040,8147,f
1738609397.191152,3,2,6,-148,1011,8207,f
1738609397.195182,5,2,8,-171,1140,8105,f
1738609397.1992,3,3,4,-187,1007,8157,f
1738609397.203222,1,1,10,-175,986,8185,f
1738609397.207299,3,3,10,-184,1154,8108,f
1738609397.212307,4,2,6,-174,1041,8135,f
1738609397.2173288,1,2,5,-183,1025,8221,f
